Date,RegionID,RegionName,State,Metro,County,SizeRank,Price
2017-05-31,6181,New York,NY,New York,Queens,0,672400
2017-05-31,12447,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1,629900
2017-05-31,17426,Chicago,IL,Chicago,Cook,2,222700
2017-05-31,13271,Philadelphia,PA,Philadelphia,Philadelphia,3,137300
2017-05-31,40326,Phoenix,AZ,Phoenix,Maricopa,4,211300
2017-05-31,18959,Las Vegas,NV,Las Vegas,Clark,5,216500
2017-05-31,54296,San Diego,CA,San Diego,San Diego,6,572100
2017-05-31,38128,Dallas,TX,Dallas-Fort Worth,Dallas,7,164700
2017-05-31,33839,San Jose,CA,San Jose,Santa Clara,8,877400
2017-05-31,25290,Jacksonville,FL,Jacksonville,Duval,9,152300
2017-05-31,20330,San Francisco,CA,San Francisco,San Francisco,10,1194300
2017-05-31,10221,Austin,TX,Austin,Travis,11,321600
2017-05-31,17762,Detroit,MI,Detroit,Wayne,12,41500
2017-05-31,10920,Columbus,OH,Columbus,Franklin,13,128300
2017-05-31,32811,Memphis,TN,Memphis,Shelby,14,81100
2017-05-31,24043,Charlotte,NC,Charlotte,Mecklenburg,15,183800
2017-05-31,17933,El Paso,TX,El Paso,El Paso,16,113400
2017-05-31,44269,Boston,MA,Boston,Suffolk,17,554600
2017-05-31,16037,Seattle,WA,Seattle,King,18,670300
2017-05-31,3523,Baltimore,MD,Baltimore,Baltimore City,19,121100
2017-05-31,11093,Denver,CO,Denver,Denver,20,383200
2017-05-31,41568,Washington,DC,Washington,District of Columbia,21,555900
2017-05-31,6118,Nashville,TN,Nashville,Davidson,22,228500
2017-05-31,5976,Milwaukee,WI,Milwaukee,Milwaukee,23,107900
2017-05-31,7481,Tucson,AZ,Tucson,Pima,24,164800
2017-05-31,13373,Portland,OR,Portland,Multnomah,25,417900
2017-05-31,33225,Oklahoma City,OK,Oklahoma City,Oklahoma,26,132700
2017-05-31,40152,Omaha,NE,Omaha,Douglas,27,152100
2017-05-31,23429,Albuquerque,NM,Albuquerque,Bernalillo,28,189600
2017-05-31,18203,Fresno,CA,Fresno,Fresno,29,212700
2017-05-31,20288,Sacramento,CA,Sacramento,Sacramento,30,299200
2017-05-31,19331,Mesa,AZ,Phoenix,Maricopa,31,221400
2017-05-31,46298,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,32,552700
2017-05-31,18795,Kansas City,MO,Kansas City,Jackson,33,121600
2017-05-31,41515,Virginia Beach,VA,Virginia Beach,Virginia Beach City,34,259500
2017-05-31,4172,Colorado Springs,CO,Colorado Springs,El Paso,35,251200
2017-05-31,37211,Atlanta,GA,Atlanta,Fulton,36,208100
2017-05-31,12700,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,37,300500
2017-05-31,13072,Oakland,CA,San Francisco,Alameda,38,680100
2017-05-31,20859,Tulsa,OK,Tulsa,Tulsa,39,109900
2017-05-31,24115,Cleveland,OH,Cleveland,Cuyahoga,40,57600
2017-05-31,18615,Honolulu,HI,Urban Honolulu,Honolulu,41,672900
2017-05-31,5983,Minneapolis,MN,Minneapolis-St Paul,Hennepin,42,239200
2017-05-31,44055,Baton Rouge,LA,Baton Rouge,East Baton Rouge,43,158200
2017-05-31,19594,New Orleans,LA,New Orleans,Orleans,44,170700
2017-05-31,50763,Arlington,TX,Dallas-Fort Worth,Tarrant,45,178900
2017-05-31,54047,Raleigh,NC,Raleigh,Wake,46,221100
2017-05-31,7929,Wichita,KS,Wichita,Sedgwick,47,121500
2017-05-31,41176,Tampa,FL,Tampa,Hillsborough,48,184200
2017-05-31,16764,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,49,568800
2017-05-31,47568,Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange,50,509800
2017-05-31,16846,Aurora,CO,Denver,Arapahoe,51,286700
2017-05-31,6891,Saint Louis,MO,St. Louis,Saint Louis City,52,119000
2017-05-31,4099,Cincinnati,OH,Cincinnati,Hamilton,53,124200
2017-05-31,26529,Pittsburgh,PA,Pittsburgh,Allegheny,54,122600
2017-05-31,47401,Riverside,CA,Riverside,Riverside,55,349900
2017-05-31,12562,Marietta,GA,Atlanta,Cobb,56,255900
2017-05-31,23482,Anchorage,AK,Anchorage,Anchorage,57,293900
2017-05-31,3506,Bakersfield,CA,Bakersfield,Kern,58,219800
