Rank,Title,Worldwide gross,Year
1,Avatar,"$2,787,965,087",2009
2,Titanic,"$2,186,772,302",1997
3,Star Wars: The Force Awakens,"$2,068,223,624",2015
4,Jurassic World,"$1,671,713,208",2015
5,The Avengers,"$1,518,812,988",2012
6,Furious 7,"$1,516,045,911",2015
7,Avengers: Age of Ultron,"$1,405,403,694",2015
8,Harry Potter and the Deathly Hallows – Part 2,"$1,341,511,219",2011
9,Frozen,"$1,287,000,000",2013
10,Beauty and the Beast,"$1,257,024,611",2017
11,The Fate of the Furious,"$1,238,290,870",2017
12,Iron Man 3,"$1,214,811,252",2013
13,Minions,"$1,159,398,397",2015
14,Captain America: Civil War,"$1,153,304,495",2016
15,Transformers: Dark of the Moon,"$1,123,794,079",2011
16,The Lord of the Rings: The Return of the King,"$1,120,237,002",2003
17,Skyfall,"$1,108,561,013",2012
18,Transformers: Age of Extinction,"$1,104,054,072",2014
19,The Dark Knight Rises,"$1,084,939,099",2012
20,Toy Story 3,"$1,066,969,703",2010
21,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725",2006
22,Rogue One: A Star Wars Story,"$1,056,057,273",2016
23,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",2011
24,Jurassic Park,"$1,029,939,903",1993
25,Finding Dory,"$1,028,570,889",2016
26,Star Wars: Episode I – The Phantom Menace,"$1,027,044,677",1999
27,Alice in Wonderland,"$1,025,467,110",2010
28,Zootopia,"$1,023,784,195",2016
29,The Hobbit: An Unexpected Journey,"$1,021,103,568",2012
30,The Dark Knight,"$1,004,558,444",2008
31,Harry Potter and the Philosopher's Stone,"$974,755,371",2001
32,Despicable Me 2,"$970,761,885",2013
33,The Lion King,"$968,483,777",1994
34,The Jungle Book,"$966,550,600",2016
35,Pirates of the Caribbean: At World's End,"$963,420,425",2007
36,Harry Potter and the Deathly Hallows – Part 1,"$960,283,305",2010
37,The Hobbit: The Desolation of Smaug,"$958,366,855",2013
38,The Hobbit: The Battle of the Five Armies,"$956,019,788",2014
39,Finding Nemo,"$940,335,536",2003
40,Harry Potter and the Order of the Phoenix,"$939,885,929",2007
41,Harry Potter and the Half-Blood Prince,"$934,416,487",2009
42,The Lord of the Rings: The Two Towers,"$926,349,708",2002
43,Shrek 2,"$919,838,758",2004
44,Harry Potter and the Goblet of Fire,"$896,911,078",2005
45,Spider-Man 3,"$890,871,626",2007
46,Ice Age: Dawn of the Dinosaurs,"$886,686,817",2009
47,Spectre,"$880,674,609",2015
48,Harry Potter and the Chamber of Secrets,"$878,979,634",2002
49,Ice Age: Continental Drift,"$877,244,782",2012
50,The Secret Life of Pets,"$875,457,937",2016
